sent,type,original_sent
You do n't have to do anything you do n't wanna do .,"['a1_present_simple_reg_act', 'a1_want_would_like_to', 'a2_have_to']",You don't have to do anything you don't wanna do.
"After the earthquake , some people do n't want to be in camps .","['a1_present_simple_reg_act', 'a1_want_would_like_to', 'a2_to_non_finite_forms']","After the earthquake, some people don't want to be in camps."
What you have to have is neural networks very extensive networks of connections .,"['a1_present_simple_reg_act', 'a1_want_would_like_to', 'a2_have_to']",What you have to have is neural networks very extensive networks of connections.
"We want to brief Congress and the relevant stakeholders , possible state directors .","['a1_present_simple_reg_act', 'a1_want_would_like_to', 'a2_to_non_finite_forms']","We want to brief Congress and the relevant stakeholders, possible state directors."
"When you love someone , you want them to be at peace with themselves .","['a1_present_simple_reg_act', 'a1_want_would_like_to', 'a2_to_non_finite_forms']","When you love someone, you want them to be at peace with themselves."
"I just want to ask , ' Would you lend your cousin your credit card ?","['a1_present_simple_reg_act', 'a1_want_would_like_to', 'a2_to_non_finite_forms']","I just want to ask, 'Would you lend your cousin your credit card?"
"I ask where they 'd like to be in five years , at 18 .","['a1_present_simple_reg_act', 'a1_want_would_like_to']","I ask where they'd like to be in five years, at 18."
"Well , that 's probably when we 'd like to be touring globally , Max says .","['a1_to_be_present_is_am_are', 'a1_present_simple_3d_pers', 'a1_want_would_like_to', 'a2_say_reported_verb']","Well, that's probably when we'd like to be touring globally, Max says."
I want to make sure we do n't lose any police officers in this community either .,"['a1_present_simple_reg_act', 'a1_want_would_like_to', 'a2_to_non_finite_forms']",I want to make sure we don't lose any police officers in this community either.
"I want us all there , standing with our Native brothers and sisters .","['a1_present_simple_reg_act', 'a1_want_would_like_to']","I want us all there, standing with our Native brothers and sisters."
That he does n't like to see or smell food in his office .,"['a1_present_simple_3d_pers', 'a1_want_would_like_to', 'a2_to_non_finite_forms']",That he doesn't like to see or smell food in his office.
I do n't want the enemy to know what I 'm doing .,"['a1_present_simple_reg_act', 'a1_present_continuous_act_rn', 'a1_want_would_like_to', 'a2_to_non_finite_forms']",I don't want the enemy to know what I'm doing.
"You 're rude , horrible people and I would like to remind you that you wo n't be young and beautiful forever .","['a1_to_be_present_is_am_are', 'a1_want_would_like_to', 'a2_to_non_finite_forms']","You're rude, horrible people and I would like to remind you that you won't be young and beautiful forever."
"What we see over and over is that this society would like to imagine our epidemic of violence is by them - some kind of marginal category : terrorist , mentally ill , nonwhite .","['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a1_want_would_like_to']","What we see over and over is that this society would like to imagine our epidemic of violence is by them - some kind of marginal category: terrorist, mentally ill, nonwhite."
"Now , a generation later , with unprecedented portability , connection , we feel the urge to note our limitations , or the ones that we 'd like to envision that we have .","['a1_present_simple_reg_act', 'a1_want_would_like_to', 'a2_to_non_finite_forms']","Now, a generation later, with unprecedented portability, connection, we feel the urge to note our limitations, or the ones that we'd like to envision that we have."
Russia and ESA would both like to go to the moon but ca n't go it alone .,"['a1_can', 'a1_want_would_like_to', 'a2_to_non_finite_forms']",Russia and ESA would both like to go to the moon but can't go it alone.
The EU wants to make a choice about whether it wants Nato to continue .,"['a1_present_simple_3d_pers', 'a1_want_would_like_to', 'a2_to_non_finite_forms']",The EU wants to make a choice about whether it wants Nato to continue.
"When asked by her husband over milkshakes if she 'd like to be cremated , Joanne drolly says she 'd like to be frozen instead","['a1_present_simple_3d_pers', 'a1_want_would_like_to', 'a2_say_reported_verb']","When asked by her husband over milkshakes if she'd like to be cremated, Joanne drolly says she'd like to be frozen instead"
"This is just the beginning , My daughter tells me that she wants children one day .","['a1_to_be_present_is_am_are', 'a1_present_simple_3d_pers', 'a1_want_would_like_to']","This is just the beginning, My daughter tells me that she wants children one day."
It would be my hope that they would continue to stand for the national anthem .,"['a1_want_would_like_to', 'a2_to_non_finite_forms']",It would be my hope that they would continue to stand for the national anthem.
The chairman and the board of directors would like to place on record their thanks for the dedication and commitment Roberto has shown during his three seasons with the club .,"['a1_want_would_like_to', 'a2_present_perfect', 'a2_to_non_finite_forms']",The chairman and the board of directors would like to place on record their thanks for the dedication and commitment Roberto has shown during his three seasons with the club.
He wants to capitalise on his military victory with a diplomatic triumph .,"['a1_present_simple_3d_pers', 'a1_want_would_like_to', 'a2_to_non_finite_forms']",He wants to capitalise on his military victory with a diplomatic triumph.
But I would like Britain to stay in Europe for more positive reasons .,"['a1_want_would_like_to', 'a2_to_non_finite_forms']",But I would like Britain to stay in Europe for more positive reasons.
"You have to find some humour in the irony , I suppose .","['a1_present_simple_reg_act', 'a1_want_would_like_to', 'a2_have_to']","You have to find some humour in the irony, I suppose."
That all I want for my children is a return to boring .,"['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a1_want_would_like_to']",That all I want for my children is a return to boring.
"I would like to see parents , Christians , veterans , anyone that 's anyone , stand up for this fight .","['a1_to_be_present_is_am_are', 'a1_want_would_like_to']","I would like to see parents, Christians, veterans, anyone that's anyone, stand up for this fight."
Most publications say ' What is the piece that we would like you to write that you would most like to write ? ',"['a1_to_be_present_is_am_are', 'a1_want_would_like_to']",Most publications say 'What is the piece that we would like you to write that you would most like to write?'
"And the second question was always , ' What form would you like to write it in ? '","['a1_to_be_past_was_were', 'a1_want_would_like_to', 'a1_special_questions']","And the second question was always, 'What form would you like to write it in?'"
